Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Bumetanide,28395-03-1,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,0.16,2.5,0.031,1.1,1.2,"Pentikainen PJ, Pasternack A, Lampainen E, Neuvonen PJ, and Penttila A (1985) Bumetanide kinetics in renal failure.  Clin. Pharmacol. Ther. 37:  582-528.  Lau HSH, Hyneck ML, Berardi RR, Swartz RD, and Smith DE (1986) Kinetics, dynamics, and bioavailability of bumetanide in healthy subjects and patients with chronic renal failure.  Clin. Pharmacol. Ther. 39: 635-645.  Cook JA, Smith DE, Cornish LA, Tankanow RM, Nicklas JM, and Hyneck ML (1988) Kinetics, dynamics, and bioavailability of bumetanide in healthy subjects and patients with congestive heart failure.  Clin. Pharmacol. Ther. 44: 487-500.",Data combined from three references.,,1970,364.42,7,3,118.7,8,anionic,3.4,0.56
Phenethicillin,147-55-7,CC(Oc1ccccc1)C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O,0.3,4.2,0.25,1.2,0.91,"Overbosch D, Mattie H, and van Furth R (1985) Comparative pharmacodynamics and clinical pharmacokinetics of phenoxymethylpenicillin and pheneticillin.  Br. J. Clin. Pharmacol.  19: 657-668.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",VDss calculated from reported rate micro-constants,,1954,364.42,7,2,95.9,5,anionic,2.2,-1.1
Prexasertib,1234015-52-1,COc1cccc(OCCCN)c1c2cc(Nc3cnc(cn3)C#N)n[nH]2,22.75,34.0,,11.15,12.54,"David Hong, Jeffrey Infante, Filip Janku, Suzanne Jones, Ly M. Nguyen, Howard Burris, Aung Naing, Todd M. Bauer, Sarina Piha-Paul, Faye M. Johnson, Razelle Kurzrock, Lisa Golden, Scott Hynes, Ji Lin, Aimee Bence Lin, and Johanna Bendell. Phase I Study of LY2606368, a Checkpoint Kinase 1 Inhibitor, in Patients With Advanced Cancer. J Clin Oncol 2016, 34, 1764-1771.","LY2606368. Weighted average of schedule 1, cycle 1 day 1 (N=3 40 mg/m2) and schedule 2, cycle 1 day 1 (N=4 105 mg/m2). Other doses did not report a full PK profile sampling from plot. 70 kg average weight assumed. MRT from VDss and clearance.",,2010,365.39,9,3,134.8,9,cationic,1.7,-0.99
Amoxicillin,26787-78-0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.25,3.3,0.85,1.3,1.1,"Arancibia A, Guttmann J, Gonzalez G, and Gonzalez C (1980) Absorption and disposition kinetics of amoxicillin in normal human subjects.  Antimicrob. Agents Chemother. 17: 199-202.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",,,1970,365.4,8,4,133.0,4,zwitterionic,0.42,-1.3
Cefroxadin,51762-05-1,COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O,0.17,4.78,0.1,0.59,0.74,"André Gerardin, Jean B. Lecaillon,  Jean P. Schoeiler, 
Guy Humbert,  and Jacqueline Guibert. Pharmacokinetics of Cefroxadin (CGP 9000) in Man. J. Phrmacokin. Biopharm. 1982, 10, 15-26.","CGP900. Cefroxadine. N=4, 50 mg iv. 70 kg average weight. VDss from V1 and k12, k21, k13 and k31. The k13 and k31 values were ony reported for two subjects and they were used for the VDss calculation. Some variability observed for the rate constants but V1 fairly consistent. Text reports the same VDss obtained by those calculations. MRT from the latter and clearance. 95% reported as excreted renally. fu < 0.1 but no accurate value reported.",,1974,365.4,8,3,122.0,5,zwitterionic,-0.95,-3.5
Clinafloxacin,105956-97-6,NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O,1.9,4.7,0.96,6.7,5.4,"Randinitis EJ, Brodfuehrer JI, Eiseman I, and Vassos AB (2001) Pharmacokinetics of clinafloxacin after single and multiple doses.  Antimic. Agents Chemother. 45: 2529-2535.  Wise R, Ashby JP, and Andrews JM.  In vitro activity of PD 127,391, an enhanced-spectrum quinoline.    Antimic. Agents Chemother.  1988, 32: 1251-1256.",,,1986,365.79,6,2,86.9,3,zwitterionic,2.6,0.29
Metolazone,17560-51-9,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N,1.6,1.4,0.05,19.0,20.0,"Tilstone WJ, Dargie H, Dargie EN, Morgan HC, and Kennedy AC (1974) Pharmacokinetics of metolazone in normal subjects and in patients with cardiac or renal failure.  Clin. Pharmacol. Ther. 16: 322-329.","C vs t data was for total radioactivity, justified in the reference that radioactivity in plasma was due to just unchanged drug.",,1967,365.83,6,2,92.5,2,neutral,3.5,3.5
Ridogrel,110140-89-1,[H]OC(CCCCON=C(c1cccc(c1)C(F)(F)F)c1cccnc1)=O,0.43,1.05,0.033,6.8,7.54,"De Buck, Stefan S.; Sinha, Vikash K.; Fenu, Luca A.; Nijsen, Marjoleen J.; Mackie, Claire E.; Gilissen, Ron A. H. J. Prediction of human pharmacokinetics using physiologically based modeling: a retrospective analysis of 26 clinically tested drugs. Drug Metabolism and Disposition, 2007, 35(10), 1766-1780.  ",70 kg average weight assumed.  MRT calculated from CL and VDss. 100 mg iv dose,,1987,366.33,5,1,71.8,9,anionic,3.5,0.95
LY2140023,635318-55-7,S1(=O)(=O)C[C@@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(NC(=O)[C@H](CCSC)N)C(=O)O,0.44,9.73,,0.75,0.84,"WILLIAM F. ANNES, AMANDA LONG, JENNIFER W. WITCHER, MOSUN A. AYAN-OSHODI, MARY PAT KNADLER, WEI ZHANG, MALCOLM. MITCHELL, KAREN CORNELISSEN, STEPHEN D. HALL.(2015) Relative Contributions of Presystemic and Systemic Peptidases to Oral Exposure of a Novel Metabotropic Glutamate 2/3 Receptor Agonist (LY404039) After Oral Administration of Prodrug Pomaglumetad Methionil (LY2140023).  J. Pharm. Sci. 104:207–214.",Pomaglumetad methionil. Average weight 80.5 kg. N=18. MRT from clearance and VDss. Data referring to dosing AND analysis of prodrug.,100 ug (microdose),2003,366.41,9,4,163.9,7,anionic,-3.0,-7.6
Ilaprazole,172152-36-2,Cc1c(ccnc1CS(=O)c2[nH]c3ccc(cc3n2)n4cccc4)OC,0.19,0.73,,4.32,3.59,"Hongyun Wang, Ning Ou, Liwei Lang, Ruihua Shi, Pei Hu and Ji Jiang. Pharmacokinetics and pharmacodynamics of intravenous ilaprazole in healthy subjects after single ascending doses. Xenobiotica, ahead of press, 2016. Downloaded March 27, 2016.","Data digitized from plot reported. N=15, 62.6 kg average weight reported, 20 mg dose, 45' infusion. AUCinf reported 7057 ng.hr.mL-1; calculated 7334 ng.hr.mL-1. Highly linear also at doses of 5 and 10 mg, but only highest digitized as showing the most interpretable plot.",,1995,366.44,6,1,72.8,5,anionic,2.7,1.9
Glibornuride,26944-48-9,Cc1ccc(cc1)S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@]([C@H]2O)(C3(C)C)C,0.27,0.34,,13.0,9.2,"K. STOECKEL, V. TRUEB, U. C. DUBACH, R. C. HEINTZ, V. ASCALONE, I. FORGO, U. HENNES. Lack of effect of tenoxicam on glibornuride kinetics and response. Br. J. clin. Pharmac. (1985), 19, 249-254","20 mg dose, N=8, 69.4 kg average weight.MRT from clearance and VDss",,1968,366.48,6,3,95.5,3,anionic,2.4,0.62
Bepridil,64706-54-3,N(c1ccccc1)(C[C@@H](N1CCCC1)COCC(C)C)Cc1ccccc1,10.1,8.7,0.001,19.3,14.9,"Pharmacokinetics of intravenous bepridil in patients with coronary disease By Lesko, Lawrence J.; Benotti, Joseph R.; Alpert, Joseph S.; Brady, Priscilla M.; McCue, Jane E.; Weiner, Bonnie H.; Ockene, Ira S. From Journal of Pharmaceutical Sciences (1986), 75(10), 952-4. ppb: NIGEL J. WATERS, RACHEL JONES, GARETH WILLIAMS, BINDI SOHAL (2008). Validation of a Rapid Equilibrium Dialysis Approach for the Measurement of Plasma Protein Binding, 97, 4586-4595.",MRT= VDss/CL. N=10. All patients with normal baseline hemodynamic and renal functions. Plots available.,,1977,366.54,3,0,15.7,10,cationic,5.4,4.9
Atovaquone,95233-18-4,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,0.6,0.15,0.001,67.0,63.0,Mepron Product Label,,,1984,366.84,3,1,54.4,2,anionic,5.5,3.4
Bambuterol,81732-65-2,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,1.6,18.0,,1.4,2.6,"Nyberg L, Rosenborg J, Weibull E, Jonsson S, Kennedy BM, and Nilsson M (1998) Pharmacokinetics of bambuterol in healthy subjects.   Br. J. Clin. Pharmacol. 45: 471-478.",,,1982,367.44,8,2,91.3,7,cationic,1.3,-0.27
Phenoperidine,562-26-5,CCOC(=O)C1(CCN(CC1)CCC(c2ccccc2)O)c3ccccc3,5.7,22.0,,4.32,3.22,"M. FISCHLER, J. C. LEVRON, H. TRANG, J. F. VAXELAIRE, B. FLAISLER AND G. VOURC'H. PHARMACOKINETICS OF PHENOPERIDINE IN ANAESTHETIZED PATIENTS UNDERGOING GENERAL SURGERY. Br. J. Anaesth. (1985), 57, 872-876","N=5, anesthetized patients. Average weight 66.4 kg. 2M/3F, 2 mg iv injection. MRT from clearance and VDss.",,1958,367.48,4,1,49.8,8,cationic,4.1,3.6
Propiverine,60569-19-9,c1(ccccc1)C(C(=O)OC1CCN(CC1)C)(OCCC)c1ccccc1,2.73,2.94,0.1,15.4,15.2,"May, Karen; Giessmann, Thomas; Wegner, Danilo; Oertel, Reinhard; Modess, Christiane; Oswald, Stefan; Braeter, Manfred; Siegmund, Werner (2008) Oral absorption of propiverine solution and of the immediate and extended release dosage forms: influence of regioselective intestinal elimination. European Journal of Clinical Pharmacology Volume 64 Issue 11 Pages 1085-1092.//ppb: Meisel, P.; Langner, Steffi; Siegmund W . In-​vitro binding of propiverine hydrochloride and some of its metabolites to serum albumin in man. J. Pharm. Pharmacol., 1997, 49, 270-272.","N=10 subjects, 15 mg iv dose, 70-kg average weight assumed.",,1976,367.48,4,0,38.8,8,cationic,4.7,3.1
Prucalopride,179474-81-8,COCCCN1CCC(CC1)NC(=O)c2cc(c(c3c2OCC3)N)Cl,8.73,4.55,0.7,32.16,22.5,"Vera J. Van de Velde, Jannie Ausma, Lieve Vandeplassche. I.V. Kinetics and Absolute Oral Bioavailability of Prucalopride. Gastroenterol. 2010,  138, (5), Supplement 1, Page S-230. doi: http://dx.doi.org/10.1016/S0016-5085(10)61047-5","Abstract only. Non compartmental analysis after a 2 mg dose. 5M/8F. 70 kg average weight assumed. MRT from clearance and VDss reported.//See also:  Jan Tac, Maura Corsetti. Expert Opin. Drug Metab. Toxicol. (2012) 8(10), 1327-1335. Reported (ref. 21) as being excreted 60-70% intact in urine.//// fu value extracted from tac and Corsetti review. Cited as ref. 20 in that review.",,1996,367.87,6,2,76.8,6,cationic,2.5,1.3
"UK-240,455",178908-09-3,CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2NC(=O)C(=O)Nc12,0.8,6.0,0.13,2.2,1.4,"Webster R, Cole S, Gedge J, Roffey S, Walker D, and Wild W (2003) Pharmacokinetics and disposition of a novel NMDA glycine site antagonist (UK-240,455) in rats, dogs, and man.  Xenobiotica 33: 541-560.",,,1996,368.19,8,3,115.8,4,neutral,-0.31,-0.43
Carboplatin,41575-94-4,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],0.26,1.5,1.0,3.0,2.0,"Elferink F, van der Vijgh WJ, Klein I, Vermorken JB, Gall HE, and Pinedo HM (1987) Pharmacokinetics of carboplatin after i.v. administration.    Cancer Treatment Rep.  71: 1231-1237.  Gaver RC, George AM, and Deeb G (1987) In vitro stability, plasma protein binding and blood cell partitioning of 14C-carboplatin.  Cancer Chemother. Pharmacol. 20: 271-276.",Used 1.6 m2 = 60 kg since the study was done in all females.,,1982,369.24,6,2,108.8,0,,,
Fleroxacin,79660-72-3,CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN(CCF)c3c2F)C(=O)O,1.6,2.4,0.73,11.0,8.6,"Weidekamm E, Portmann R, Suter K, Partos C, Dell D, and Lucker PW (1987) Single- and multiple-dose pharmacokinetics of fleroxacin, a trifluorinated quinolone, in humans.  Antimic. Agents Chemother. 31: 1909-1914.  Bergogne-Berezin E (2002) Clinical role of protein binding of quinolones.  Clin. Pharmacokinet. 41: 741-750.",,,1981,369.34,6,1,64.1,4,zwitterionic,2.0,-0.27
Lansoprazole,103577-45-3,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c2nc3ccccc3[nH]2,0.28,4.4,0.021,1.1,1.0,"Gerloff J, Mignot A, Barth H, and Heintze K (1996) Pharmacokinetics and absolute bioavailability of lansoprazole.  Eur. J. Clin. Pharmacol. 50: 293-297.  Freston JW, Pilmer BL, Chiu YL, Wang Q, Stolle JC, Griffin JS, and Lee CQ (2004) Evaluation of the pharmacokinetics and pharmacodynamics of intravenous lansoprazole.  Alimentary Pharmacol. Ther. 19: 1111-1122.  Karol MD, Machinist JM, and Cavanaugh JM (1995) Pharmacokinetics of lansoprazole in hemodialysis patients.  J. Clin. Pharmacol.  35: 815-820.",,,1986,369.36,5,1,67.9,5,neutral,2.5,2.4
Heroin,561-27-3,"CC(=O)Oc1ccc2c3c1O[C@@H]4[C@]35CC[N@@]([C@H](C2)[C@@H]5C=C[C@@H]4OC(=O)C)C
",1.31,212.3,,0.1,0.062,"Elisabeth J. Rook, Jan M. van Ree, Wim van den Brink, Michel J. X. Hillebrand, Alwin D. R. Huitema, Vincent M. Hendriks, Jos H. Beijnen. Pharmacokinetics and Pharmacodynamics of High Doses of Pharmaceutically Prepared Heroin, by Intravenous or by Inhalation Route in Opioid-Dependent Patients. Basic & Clinical Pharmacology & Toxicology 2006, 98, 86–96.","N=11, 73 kg average weight reported. No actual dose reported. 930 L/h average clearance at ""steady-state"" after iv doses to ""chasers"" and VD as 96 L but without specification of type of volume. VD taken as Vbeta = VDss as seemingly showing  1 compartment behavior. T1/2 of terminal phase: 3.7 minutes. MRT = t1/2/0.693.",,1906,369.41,6,0,65.1,4,cationic,1.9,1.1
Trimetrexate,52128-35-5,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0.77,0.77,0.05,17.0,17.0,"Neutrexin (trimetexate glucuronate) Product Label. PDR, accessed July 28 2014. http://www.pdr3d.com/detail.php?c=1000",,,1975,369.42,8,3,117.5,6,neutral,2.4,2.3
Nicainoprol,76252-06-7,C1CCN(C(c2cccnc2)=O)c2c1cccc2OC[C@@H](CNC(C)C)O,0.67,3.6,,3.1,12.4,"Takashi Ishizaki, Yukio Horai, Kiyoshi Kubota, Akemi Minegishi., Hirotoshi Echizen, and Kan Chiba, Ph.D.Disposition kinetics and dynamics of nicainoprol, a new antiarrhythmic agent, in humans. Clin. Pharmacol. Ther. 1987, 42, 525-534","N=8, 100 mg in 60' infusion. Clrenal 0.56 mL/min/kg. Erroneous MRT reported in Table 1 and corrected using AUC and clerance cross-checking.",,1981,369.46,6,2,74.7,7,cationic,1.4,-0.35
Diprafenone,81447-80-5,CCC(C)(C)NCC(O)COc1ccccc1C(=O)CCc2ccccc2,1.2,11.0,0.017,1.9,1.5,"Trenk D, Wagner F, Sachs W, and Jaehnchen E (1989) Pharmacokinetic characterization of the antiarrhythmic drug diprafenone in man.    Eur. J. Clin. Pharmacol. 37: 313-316.",,,1983,369.5,4,2,58.6,11,cationic,4.0,2.0
Actisomide,96914-39-5,CC(C)N(CC[C@@]1(C(N=C(C)N2CCCC[C@H]12)=O)c1ccccc1)C(C)C,0.58,6.79,0.7,1.58,1.89,"Cook CS et al. Pharmacokinetics of a novel antiarrhythmic drug, Actisomide. Pharm Res, 1993, 10(3), 427-433.","Data from 50 mg/person 5 min iv infusion, N=6, 62.8 Kg average weight. t½ taken as the β phase.  fu from Lombardo et al J. Clin. Pharmacol. 2013, 53(2), 167-177 and 178-191",,1985,369.54,4,0,35.9,6,cationic,4.0,2.6
Tedizolid,856866-72-3,Cn1nc(nn1)c2ccc(cn2)c3ccc(cc3F)N4C[C@@H](OC4=O)CO,0.91,1.19,0.11,12.64,10.16,"S. Flanagan, S. L. Minassian, D. Morris, R. Ponnuraj,T. C. Marbury, H. W. Alcorn, E. Fang, P. Prokocimer. Pharmacokinetics of Tedizolid in Subjects with Renal or Hepatic
Impairment. Antimicrobial Agents and Chemotherapy, 2014, 58, 6471-6476.
","Data digitized from plot reprorted, N=8, healthy volunteers, 70 kg average weight assumed, 0.82 correction factor for dose from administered phosphate prodrug (rapidly cleaved) to tedizolid. AUCinf essentially identical to reported value. ppb data from Housman ST, Pope JS, Russomanno J, et al. Pulmonary disposition of tedizolid following administration of once-daily oral 200-milligram tedizolid phosphate in healthy adult volunteers. Antimicrob Agents Chemother. 2012;56(5):2627–2634.",,2005,370.34,9,1,106.3,4,neutral,2.0,2.0
Ciclotropium,764602-65-5,CC([N@+]1([C@@H]2C[C@@H](C[C@@H]1CC2)OC(=O)[C@@H](C3CCCC3)c4ccccc4)C)C,1.25,8.41,,2.48,3.3,"Liebmann B, Mayer S, Mutschler E, Spahn-Langguth H. Studies on the metabolic clearance of ciclotropium to alpha-phenylciclopentylacetic acid using a new enantiospecific metabolite assay. Arzneim.-Forsch. 1992, 42, 1354-1358.","2 volunteers, 70 kg average weight assumed, compound administered at a dose of 10 mg as 15' infusion. Volunteer 1 yielded an AUC0-inf with 1% from reported (rep, 268 ng.h.mL-1), volunteer 2 yielded an AUC0-inf within 12% of reported (rep. 342 ng.h.mL-1). Data digitized separately and PK parameters averaged after calculations. 82% recovered unchanged in urine.",,1982,370.55,3,0,26.3,6,neutral,1.6,1.6
Lorcainide,59729-31-6,CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3,6.6,16.0,0.15,6.9,6.5,"Klotz U, Mueller-Seydlitz P, and Heimburg P (1979) Disposition and antiarrythmic effect of lorcainide.  Int. J. Clin. Pharmacol. Biopharm. 17: 152-158.  Klotz U, Mueller-Seydlitz P, and Heimburg P (1978) Pharmacokinetics of lorcainide in man:  a new antiarrhythmic agent.  Clin. Pharmacokinet. 3: 407-418.",,,1977,370.92,3,0,23.5,5,cationic,4.9,3.0
Remoxipride,80125-14-0,CCN1CCC[C@H]1CNC(=O)c2c(OC)ccc(Br)c2OC,0.65,1.7,0.16,6.4,5.5,"Widman M, Nilsson LB, Bryske B, and Lundstroem J (1993) Disposition of remoxipride in different species: species differences in metabolism.  Arz. Forsch. 43: 287-297.  von Bahr C, Movin G, Yisak WA, Jostell KG, and Widman M (199) Clinical pharmacokinetics of remoxipride.  Acta Psych Scand. 358(Suppl) 41-44.",Note probable typo in the article by von Bahr et al stating that CL is 119 liter/min--interpreted as 119 mL/min,,1981,371.27,5,1,50.8,6,cationic,2.5,0.86
Nedocromil,69049-73-6,c12c(c3c(c(cc(o3)C(O)=O)=O)cc1c(cc(n2CC)C(O)=O)=O)CCC,0.43,10.2,0.11,0.7,0.9,"M. G. NEALE, K. BROWN, R. A. FOULDS, S. LAL1, D. A. MORRIS & D. THOMAS. The pharmacokinetics of nedocromil sodium, a new drug for the treatment of reversible obstructive airways disease, in human volunteers and patients with reversible obstructive airways disease. Br. J. Clin. Pharmacol.  (1987), 24, 493-501//ppb: https://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020750ap_Tilade_clinphrmr.pdf. Accessed June 15 2017.",420 ug total dose administered as 0.2 ug.kg-1.min-1 in 30 minutes. 70 kg average weight N=6 healthy. MRT from VDss and clearance.,80% excreted unchanged also reported in the FDA approval package. Very small amount excreted in urine after po or inhalation.,1978,371.34,8,2,127.1,5,anionic,2.8,-3.1
Isradipine,75695-93-1,COC(=O)C1=C(C)NC(=C(C1c2cccc3nonc23)C(=O)OC(C)C)C,1.5,26.0,0.04,1.0,3.3,"Christensen HR, Antonsen K, Simonsen K, Lindekar A, Bonde J, Angelo HR, and Kampmann JP (2000) Bioavailability and pharmacokinetics of isradipine after oral and intravenous administration: half-life shorter than expected?  Pharmacol. Toxicol. 86: 178-182.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1988) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",VDss was calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1980,371.39,8,1,103.8,6,neutral,3.0,3.0
Nemonoxacin,378746-64-6,C(C(=C(N1C2CC2)C(=C2N(C[C@](C[C@]3([H])C)(N)[H])C3)OC)C=C2)(C(=C1)C(O)=O)=O,1.9,3.8,0.84,8.4,13.5,"Cao Guo-Ying; Zhang Jing; Zhang Ying-Yuan; Guo Bei-Ning; Yu Ji-Cheng; Wu Xiao-Jie; Chen Yuan-Cheng; Shi Yao-Guo; Wu Ju-Fang . Safety, Tolerability, and Pharmacokinetics of Intravenous Nemonoxacin in Healthy Chinese Volunteers. Antimicrobial agents and chemotherapy. 2014 ; 58, 6116-6121; . ppb: Luke Lin, Li-Wen Chang, Cheng-Yuan Tsai, Ching-Hung Hsu, David T. Chung, William S. Aronstein, Funmi Ajayi, Barbara Kuzmak, and Robert A. LyonDose Escalation Study of the Safety, Tolerability, and Pharmacokinetics of Nemonoxacin (TG-873870), aNovel Potent Broad-Spectrum Nonfluorinated Quinolone, in Healthy Volunteers. ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,  2010, 54, 405–410","TG-873870. Average of N=35 across 250, 500 and 750 mg dose. Data from table 4. Infusion 45', 90 and 135', respectively. 59 kg average body weight reported.",,2001,371.43,7,2,96.1,4,zwitterionic,2.5,0.077
Trazodone,19794-93-5,Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,0.52,1.4,0.08,6.2,7.3,Nilsen OG and Dale O (1992) Single dose pharmacokinetics of trazodone in healthy subjects.  Pharmacol. Toxicol. 71: 150-153. ppb: The PDR states: Trazodone is 89% to 95% protein bound in vitro at concentrations attained with therapeutic doses in humans. Accessed January 8 2015. http://www.pdr3d.com/detail.php?c=82125#section-14,VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1968,371.86,6,0,42.4,5,neutral,4.5,4.3
Medroxalol,56290-94-9,CC(CCc1ccc2OCOc2c1)NCC(O)c3ccc(O)c(c3)C(=O)N,7.9,16.0,,8.2,11.0,"Haegele KD, Jaillion P, Cheymol G, Alken RG, Schechter PJ, and Koch-Weser J (1983) Kinetics of medroxalol, a beta and alpha-adrenoceptor antagonist.  Clin. Pharmacol. Ther.34: 785-791.  Keeley FJ, Weiner DL, and Okerholm RA (1983) Bioavailability of medroxalol in man.  Biopharm. Drug Dispos.  4: 305-309.",Calculations were done using data from digitization of the C vs t plot in the reported reference by Keeley et al. and from C vs t data listed in Haegele et al..,,1975,372.41,7,4,114.0,8,cationic,1.7,0.84
Finasteride,98319-26-7,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,1.1,2.4,0.095,7.6,6.0,"Steiner JF (1996) Clinical pharmacokinetics and pharmacodynamics of finasteride.  Clin. Pharmacokinet. 30: 16-27.  Carlin JR, Hoglund P, Eriksson LO, Christofalo P, Gregoire SL, Taylor AM, and Andersson KE (1992) Disposition and pharmacokinetics of [14C]finasteride after oral administration in humans.  Drug Metab. Dispos. 20: 148-155",,,1985,372.54,4,2,58.2,1,neutral,3.2,3.2
Sipatrigine,130800-90-7,c1(c2c(nc(N3CCN(C)CC3)nc2)N)c(c(cc(c1)Cl)Cl)Cl,15.31,20.9,,12.26,10.98,"A. J. MERCER, R. J. LAMB, HUSSEIN, S. HOBBIGER, J. POSNER. The Tolerability, Pharmacokinetics and Pharmacodynamics of Increasing Intravenous Doses of 619C89, a Novel Compound for the Acute Treatment of Stroke, in Healthy Volunteers. Ann N. Y. Acad. Sci., 1995, 754, 324-326."," 619C89. Data digitized from reported plot. 1 mg/kg only but linear PK. N=8, 70 kg average weight assumed. Reported AUCinf = 885 ng.hr.mL-1. Calculated 798 ng.hr.mL-1 (11% difference). Clearance reported 1.2 L.hr-1.kg-1. Calculated 1.25 L.hr-1.kg-1.","in STROKE PATIENTS: Z. HUSSEIN, I. J. FRASER, K. R. LEES, K. W. MUIR, M. W. LUNNON, S. F. HOBBIGER, J. POSNER. Pharmacokinetics of 619C89, a novel neuronal sodium channel inhibitor, in acute stroke patients after loading and discrete maintenance infusions. Br J Clin Pharmacol 1996; 41: 505–511//619C89. 5 dose groups (loading and maintenance infusion). Data were weight averaged accoding to number of patients. N=23 overall (N=22 for t1/2). Reported mean body weight 74 kg.",1990,372.68,5,1,58.3,2,cationic,4.4,3.6
